,0
DCUN1D4,-0.3390824445316488
DCTD,-0.19154984066239014
PRSS23,-0.12442441655237495
NUDT9,-0.1103364759716449
EGFR,-0.09877116848613443
ICAM3,-0.07164512515526902
PAK6,-0.07106556068112208
STMN1,-0.066085664729759
HADH,-0.0639763864335706
ATF5,-0.0416482370509172
CLSTN1,-0.0359506464194681
WIPF2,-0.026080212957855967
BCL2,-0.018199718101687707
TLR4,-0.017365577848162332
HTRA1,-0.011474998902961366
HIST2H2BE,0.0004591949404925098
ILK,0.009371405950109409
BNIP3,0.010154440513994657
STX4,0.025982287259793936
FUT1,0.03707818609737194
VDAC1,0.03755129720693165
ANKRD10,0.045245142373727
ALDOA,0.04716855593175043
TERT,0.04751042703317494
SNAP25,0.048442871119742416
ABCC5,0.049787210912498
DUSP22,0.05039161687212
SNX7,0.0507941694392267
USP22,0.06526560199992608
FASTKD5,0.06852950807533059
HSPA1A,0.06947934280445307
ERBB2,0.07068169929471764
CRYZ,0.07633093855537582
MYLK,0.07886248944903661
HES1,0.08622201250983709
DNAJB6,0.08725309685942911
NET1,0.10795120504592916
HOXA5,0.1113505923731954
FBXO7,0.14758952311957196
FSD1,0.16511540735931948
IER3,0.16801472230727596
DAXX,0.19217121684369554
RBM6,0.19283683601430268
POP4,0.21408776426984205
PHKB,0.21545558478765606
MYO10,0.2217041844859535
MAPK13,0.2255415296920086
TSEN2,0.229628862588102
CCND1,0.2522687405958981
SYNGR3,0.3451875484000613
